Rock;(0, 0)
Water;(32, 7)
Water;(32, 8)
Herb;(32, 9)
Herb;(32, 10)
Herb;(32, 11)
Herb;(32, 12)
Rock;(32, 13)
Tree;(32, 14)
Tree;(32, 15)
Tree;(32, 16)
Tree;(32, 17)
Tree;(32, 18)
Tree;(32, 19)
Herb;(32, 20)
Tree;(32, 21)
Herb;(32, 22)
Herb;(32, 23)
Herb;(32, 24)
Rock;(32, 25)
Herb;(32, 26)
Herb;(32, 27)
Herb;(32, 28)
Tree;(32, 29)
Tree;(32, 30)
Tree;(32, 31)
Tree;(32, 32)
Tree;(32, 33)
Tree;(32, 34)
Tree;(32, 35)
Tree;(32, 36)
Tree;(32, 37)
Tree;(32, 38)
Tree;(32, 39)
Tree;(33, 0)
Tree;(33, 1)
Tree;(33, 2)
Tree;(33, 3)
Herb;(33, 4)
Water;(33, 5)
Water;(33, 6)
Water;(33, 7)
Water;(33, 8)
Water;(33, 9)
Rock;(33, 10)
Herb;(33, 11)
Herb;(33, 12)
Herb;(33, 13)
Tree;(33, 14)
Tree;(33, 15)
Tree;(33, 16)
Tree;(33, 17)
Tree;(33, 18)
Tree;(33, 19)
Herb;(33, 20)
Tree;(33, 21)
Herb;(33, 22)
Herb;(33, 23)
Herb;(33, 24)
Rock;(33, 25)
Rock;(33, 26)
Herb;(33, 27)
Herb;(33, 28)
Herb;(33, 29)
Herb;(33, 30)
Tree;(33, 31)
Tree;(33, 32)
Tree;(33, 33)
Tree;(33, 34)
Tree;(33, 35)
Herb;(33, 36)
Herb;(33, 37)
Tree;(33, 38)
Tree;(33, 39)
Tree;(34, 0)
Tree;(34, 1)
Tree;(34, 2)
Tree;(34, 3)
Herb;(34, 4)
Water;(34, 5)
Water;(34, 6)
Water;(34, 7)
Water;(34, 8)
Water;(34, 9)
Herb;(34, 10)
Herb;(34, 11)
Herb;(34, 12)
Rock;(34, 13)
Tree;(34, 14)
Tree;(34, 15)
Tree;(34, 16)
Tree;(34, 17)
Tree;(34, 18)
Tree;(34, 19)
Tree;(34, 20)
Tree;(34, 21)
Tree;(34, 22)
Herb;(34, 23)
Herb;(34, 24)
Herb;(34, 25)
Rock;(34, 26)
Rock;(34, 27)
Herb;(34, 28)
Herb;(34, 29)
Herb;(34, 30)
Herb;(34, 31)
Herb;(34, 32)
Herb;(34, 33)
Herb;(34, 34)
Herb;(34, 35)
Herb;(34, 36)
Herb;(34, 37)
Herb;(34, 38)
Tree;(34, 39)
Tree;(35, 0)
Tree;(35, 1)
Herb;(35, 2)
Herb;(35, 3)
Herb;(35, 4)
Rock;(35, 5)
Water;(35, 6)
Water;(35, 7)
Water;(35, 8)
Water;(35, 9)
Water;(35, 10)
Tree;(35, 11)
Tree;(35, 12)
Tree;(35, 13)
Tree;(35, 14)
Tree;(35, 15)
Tree;(35, 16)
Tree;(35, 17)
Tree;(35, 18)
Tree;(35, 19)
Tree;(35, 20)
Tree;(35, 21)
Tree;(35, 22)
Herb;(35, 23)
Herb;(35, 24)
Herb;(35, 25)
Rock;(35, 26)
Rock;(35, 27)
Rock;(35, 28)
Herb;(35, 29)
Herb;(35, 30)
Herb;(35, 31)
Herb;(35, 32)
Herb;(35, 33)
Herb;(35, 34)
Herb;(35, 35)
Herb;(35, 36)
Herb;(35, 37)
Herb;(35, 38)
Herb;(35, 39)
Tree;(36, 0)
Herb;(36, 1)
Rock;(36, 2)
Herb;(36, 3)
Herb;(36, 4)
Herb;(36, 5)
Rock;(36, 6)
Water;(36, 7)
Water;(36, 8)
Water;(36, 9)
Water;(36, 10)
Water;(36, 11)
Tree;(36, 12)
Tree;(36, 13)
Tree;(36, 14)
Tree;(36, 15)
Tree;(36, 16)
Tree;(36, 17)
Tree;(36, 18)
Herb;(36, 19)
Tree;(36, 20)
Tree;(36, 21)
Herb;(36, 22)
Tree;(36, 23)
Tree;(36, 24)
Rock;(36, 25)
Herb;(36, 26)
Herb;(36, 27)
Rock;(36, 28)
Rock;(36, 29)
Herb;(36, 30)
Rock;(36, 31)
Herb;(36, 32)
Herb;(36, 33)
Rock;(36, 34)
Herb;(36, 35)
Herb;(36, 36)
Herb;(36, 37)
Rock;(36, 38)
Rock;(36, 39)
Herb;(37, 0)
Herb;(37, 1)
Herb;(37, 2)
Herb;(37, 3)
Herb;(37, 4)
Herb;(37, 5)
Rock;(37, 6)
Herb;(37, 7)
Herb;(37, 8)
Water;(37, 9)
Water;(37, 10)
Water;(37, 11)
Water;(37, 12)
Water;(37, 13)
Tree;(37, 14)
Tree;(37, 15)
Tree;(37, 16)
Tree;(37, 17)
Tree;(37, 18)
Tree;(37, 19)
Tree;(37, 20)
Tree;(37, 21)
Tree;(37, 22)
Tree;(37, 23)
Tree;(37, 24)
Tree;(37, 25)
Herb;(37, 26)
Herb;(37, 27)
Herb;(37, 28)
Herb;(37, 29)
Herb;(37, 30)
Herb;(37, 31)
Herb;(37, 32)
Herb;(37, 33)
Rock;(37, 34)
Herb;(37, 35)
Herb;(37, 36)
Herb;(37, 37)
Herb;(37, 38)
Herb;(37, 39)
Herb;(38, 0)
Herb;(38, 1)
Herb;(38, 2)
Rock;(38, 3)
Herb;(38, 4)
Herb;(38, 5)
Rock;(38, 6)
Rock;(38, 7)
Herb;(38, 8)
Water;(38, 9)
Water;(38, 10)
Water;(38, 11)
Water;(38, 12)
Water;(38, 13)
Tree;(38, 14)
Tree;(38, 15)
Tree;(38, 16)
Tree;(38, 17)
Tree;(38, 18)
Tree;(38, 19)
Tree;(38, 20)
Tree;(38, 21)
Tree;(38, 22)
Tree;(38, 23)
Tree;(38, 24)
Tree;(38, 25)
Tree;(38, 26)
Tree;(38, 27)
Rock;(38, 28)
Herb;(38, 29)
Herb;(38, 30)
Herb;(38, 31)
Rock;(38, 32)
Herb;(38, 33)
Rock;(38, 34)
Herb;(38, 35)
Herb;(38, 36)
Herb;(38, 37)
Rock;(38, 38)
Rock;(38, 39)
Herb;(39, 0)
Herb;(39, 1)
Herb;(39, 2)
Herb;(39, 3)
Rock;(39, 4)
Rock;(39, 5)
Rock;(39, 6)
Herb;(39, 7)
Herb;(39, 8)
Water;(39, 9)
Water;(39, 10)
Water;(39, 11)
Water;(39, 12)
Water;(39, 13)
Herb;(39, 14)
Tree;(39, 15)
Tree;(39, 16)
Herb;(39, 17)
Tree;(39, 18)
Tree;(39, 19)
Tree;(39, 20)
Herb;(39, 21)
Herb;(39, 22)
Tree;(39, 23)
Tree;(39, 24)
Tree;(39, 25)
Tree;(39, 26)
Herb;(39, 27)
Herb;(39, 28)
Herb;(39, 29)
Herb;(39, 30)
Herb;(39, 31)
Rock;(39, 32)
Rock;(39, 33)
Rock;(39, 34)
Herb;(39, 35)
Herb;(39, 36)
Herb;(39, 37)
Rock;(39, 38)
Rock;(39, 39)
end;
